FID,FID_,address,adname,adcode,pname,cityname,name,long,lat,_id,type,data_proce
136,4683,崇文门外大街地铁五号线C口往前50米108公交车站旁边,东城区,110101,北京市,北京市,老北京包子铺(刘记崇文门店),116.418964,39.900062,i#20170617#1707e419e83fb786af7a9e1c0183d57f,餐饮服务;餐饮相关场所;餐饮相关, 
137,4739,成寿寺新业广场二层,丰台区,110106,北京市,北京市,泰芒了(新业广场店),116.44702,39.857329,d#20170618#36fffe38659eb44f4f3339f864a39d0d,餐饮服务;餐饮相关场所;餐饮相关, 
138,4740,韩庄子西里,丰台区,110106,北京市,北京市,左麻又辣,116.289931,39.839539,8#20170618#e93e906e2cf16deddf1f837e92d9598e,餐饮服务;餐饮相关场所;餐饮相关, 
139,4822,饶乐府村商业街264号附近,房山区,110111,北京市,北京市,主食厨房(饶乐府村商业街),116.002992,39.701533,a#20170618#43172b73d5ddbd5830a765bb929f7ecd,餐饮服务;餐饮相关场所;餐饮相关, 
140,4841,沙河镇顺沙路19号院二区底商2-3号,昌平区,110114,北京市,北京市,纽罗宾蛋糕面包,116.278474,40.144478,e#20170621#a8339eaa429d9bc895a7ccd845236677,餐饮服务;餐饮相关场所;餐饮相关, 
141,4880,科学院南路2号融科资讯中心B座一层106,海淀区,110108,北京市,北京市,FreshTailor鲜知生活馆,116.32652,39.984819,u#20170621#3a6800035be2c19eb0886173f4b576e3,餐饮服务;餐饮相关场所;餐饮相关, 
142,4899,北七家镇定泗路宏福院小区,昌平区,110114,北京市,北京市,德口福包子(郑各庄新村东),116.36431,40.115848,q#20170618#e415b4faf9fdf484fc6d60577a4b0a83,餐饮服务;餐饮相关场所;餐饮相关, 
143,4914,陶然亭路12号楼京都瑞成大厦2层,西城区,110102,北京市,北京市,法兰之吻甜点,116.37766,39.87857,n#20170617#4693fb0e88d33b9d13219d4236e2602c,餐饮服务;餐饮相关场所;餐饮相关, 
144,4948,旧京承路与902县道交叉口东南100米,密云区,110118,北京市,北京市,孙记福乐天老北京烧饼店,116.821656,40.367639,9#20170618#9ab94779ad3fd135cdba846e1c248ef0,餐饮服务;餐饮相关场所;餐饮相关, 
145,4949,欣宁街原理想城售楼处西红门地铁4号线B1出口处,大兴区,110115,北京市,北京市,味多美,116.345964,39.795854,p#20170618#2219ff472d96eb1babbc9d8fb1ff74b2,餐饮服务;餐饮相关场所;餐饮相关, 
146,4970,小堡北街与徐宋路交叉口西北50米,通州区,110112,北京市,北京市,小月姐卤味磨爪,116.721262,39.95045,c#20170618#3e60657bd4ec3907739420ff5fcdeba0,餐饮服务;餐饮相关场所;餐饮相关, 
147,5013,长阳镇广阳大街绿地缤纷城购物中心3层,房山区,110111,北京市,北京市,卤侠客(绿地缤纷城店),116.160719,39.756787,u#20170618#3f13324db2f6fc590a863aba7fce9911,餐饮服务;餐饮相关场所;餐饮相关, 
148,5028,美然绿色家园,大兴区,110115,北京市,北京市,山东主食厨房(旧忠路),116.451144,39.802381,7#20170618#7311bcfab5c32fce38bfd77b599a67df,餐饮服务;餐饮相关场所;餐饮相关, 
149,5061,凤福街与温泉街交叉口东南50米,大兴区,110115,北京市,北京市,北京天地情缘餐厅,116.69378,39.614655,y#20170621#c45a1bb5efc83f05272d8fa6a67cdc1f,餐饮服务;餐饮相关场所;餐饮相关, 
150,5064,怀柔镇下元村53号,怀柔区,110116,北京市,北京市,北京好味悠长小吃店(下元一条店),116.642195,40.3189,z#20170618#a3d5a2c026116c5e4318f362e7b398f4,餐饮服务;餐饮相关场所;餐饮相关, 
151,5093,良乡拱辰南大街金花商业大厦1楼04号,房山区,110111,北京市,北京市,川乐小镇(金华商业大厦店),116.142369,39.73215,7#20170618#44cf47ef55c60c0e5f236193279a11f7,餐饮服务;餐饮相关场所;餐饮相关, 
